Source,D:/job/monozukuri/PCB/PIC18F45K22_v2.1/PIC18F45K22_CPUBOARD_V21.sch,,,,,,,,
Kicad Rev,Eeschema 4.0.4-stable,,,,,,,,
Generated Date,2017/1/17 11:01,,,,,,,,

Title,PIC18F45K22 Control Board,,,,,,,,
Company,(c) JSD,,,,,,,,
Revision,2.1,,,,,,,,
Date Issue,2016/9/16,,,,,,,,

Reference,Value,部品名,価格,Library,Library Ref,,,,備考
R30,4.7K,3,,PIC18F45K22_CPUBOARD-rescue,R-RESCUE-PIC18F45K22_CPUBOARD,,,,
R1,4.7K,1/6W抵抗 4.7K,1,PIC18F45K22_CPUBOARD-rescue,R-RESCUE-PIC18F45K22_CPUBOARD,,,,
C4,0.1u,104 チップ積セラ 1608,,device,C_Small,,,,
C8,0.1u,104 チップ積セラ 1608,,device,C_Small,,,,
R2,27,27 チップ抵抗 1608,,PIC18F45K22_CPUBOARD-rescue,R-RESCUE-PIC18F45K22_CPUBOARD,,,,
R3,27,27 チップ抵抗 1608,,PIC18F45K22_CPUBOARD-rescue,R-RESCUE-PIC18F45K22_CPUBOARD,,,,
SW1,SWITCH_INV,2MS1-T1-B4-M2-Q-E （秋月）,,device,SWITCH_INV,,,,
CN2,CONN_5X2,302-S101,,conn,CONN_02X05,,,,
CN3,CONN_5X2,302-S101,,conn,CONN_02X05,,,,
CN4,CONN_7X2,302-S141,,conn,CONN_02X07,,,,
RA0,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,注文済み
RA1,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RA2,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RA3,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RA4,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RA5,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RA6,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RA7,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RB0,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RB1,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
RB2,LED,3mm緑 LED,,PIC18F45K22_CPUBOARD-rescue,LED-RESCUE-PIC18F45K22_CPUBOARD,,,,
